dest,details,parcelno,status,tracknum
GUANGZHOU-CHINA/广州-中国	,快件已到广州仓库 The goods have been arrival Guangzhou whouse,,2019-10-17 14:42,
GUANGZHOU-CHINA/广州-中国,"快件已装柜,将安排报关 The goods have been loading and ready to customs declare.",,2019-10-18 00:55:43,
SHENZHEN-CHINA/深圳-中国,海关状态更新 Customs status updated.,,2019-10-18 23:56:34,
SHENZHEN-CHINA/深圳-中国,快件已完成报关手续并从海关放行. Clearance processing completed.,,2019-10-19 00:56:34,
SHENZHEN-CHINA/深圳-中国,船名航次 EVER SUPERB 1111-079E.,,2019-10-19 09:57,
SHENZHEN-CHINA/深圳-中国,快件将于10月20日开船The express will leave on 10.20,,2019-10-19 10:58,
SHENZHEN-CHINA/深圳-中国,"快件离开港口.Departed Port in SHENZHEN-CHINA, PEOPLES REPUBLIC.",,2019-10-20 22:37:22,
SHENZHEN-CHINA/深圳-中国,快件预计11月3日抵达港口Express is expected to arrive at port 11.3,,2019-10-21 09:37:22,
